Volcano Name,Country,Location,Latitude,Longitude,Elevation (m),Last Known Eruption
St. Andrew Strait,Papua New Guinea,Admiralty Is-SW Paci,-2.38,147.35,270.0,Active
Baluan,United States,Admiralty Is-SW Paci,-2.57,147.28,254.0,Dormant
Dacht-I-Navar Group,Afghanistan,Afghanistan,33.95,67.92,3800.0,Dormant
Vakak Group,Afghanistan,Afghanistan,34.25,67.97,3190.0,Dormant
Karisimbi,"Congo, DRC",Africa-C,-1.506,29.45,4490.0,Dormant
May-ya-moto,"Congo, DRC",Africa-C,-0.93,29.33,950.0,Dormant
Nyamulagira,"Congo, DRC",Africa-C,-1.408,29.2,3058.0,Active
Nyiragongo,"Congo, DRC",Africa-C,-1.52,29.25,3470.0,Active
Tshibinda,"Congo, DRC",Africa-C,-2.32,28.75,1460.0,Dormant
Visoke,Rwanda,Africa-C,-1.458,29.485,3696.0,Active
Bufumbira,Uganda,Africa-C,-1.304,29.683,2100.0,Dormant
Bunyaruguru,Uganda,Africa-C,-0.2,30.08,1554.0,Dormant
Fort Portal,Uganda,Africa-C,0.7,30.25,1615.0,Dormant
Katunga,Uganda,Africa-C,-0.471,30.191,1707.0,Dormant
Katwe-Kikorongo,Uganda,Africa-C,-0.08,29.92,1067.0,Dormant
Kyatwa,Uganda,Africa-C,0.45,30.25,1430.0,Dormant
Muhavura,Uganda,Africa-C,-1.383,29.678,4103.0,Dormant
"Barrier, The",Kenya,Africa-E,2.32,36.57,1032.0,Active
Chyulu Hills,Kenya,Africa-E,-2.68,37.88,2188.0,Active
"Eburru, Ol Doinyo",Kenya,Africa-E,-0.65,36.22,2856.0,Dormant
Elmenteita Badlands,Kenya,Africa-E,-0.546,36.249,2126.0,Dormant
Emuruangogolak,Kenya,Africa-E,1.5,36.33,1285.0,Active
Homa Mountain,Kenya,Africa-E,-0.38,34.5,1751.0,Dormant
Korosi,Kenya,Africa-E,0.77,36.12,1446.0,Dormant
Lake Turkana Central Island,Kenya,Africa-E,3.496,36.04,518.0,Dormant
Lake Turkana North Island,Kenya,Africa-E,4.063,36.046,490.0,Dormant
Lake Turkana South Island,Kenya,Africa-E,2.636,36.596,800.0,Active
