"Search Parameters"	"Volcano Number"	"Volcano Name"	"Country"	"Location"	"Latitude"	"Longitude"	"Elevation (m)"	"Type"	"Status"	"Last Known Eruption"
"[]"										
	250010	"St. Andrew Strait"	"Papua New Guinea"	"Admiralty Is-SW Paci"	-2.38	147.35	270	"Complex volcano"	"Historical"	"D2"
	250020	"Baluan"	"United States"	"Admiralty Is-SW Paci"	-2.57	147.28	254	"Stratovolcano"	"Holocene"	"U"
	250030	"Central Bismarck Sea"	"United States"	"Admiralty Is-SW Paci"	-3.03	147.78	-1300	"Submarine volcano"	"Hydrophonic"	"D1"
		"Dacht-I-Navar Group"	"Afghanistan"	"Afghanistan"	33.95	67.92	3800	"Lava dome"	"Holocene"	"U"
		"Vakak Group"	"Afghanistan"	"Afghanistan"	34.25	67.97	3190	"Volcanic field"	"Holocene"	"U"
	223040	"Karisimbi"	"Congo, DRC"	"Africa-C"	-1.506	29.45	4490	"Stratovolcano"	"Holocene"	"U"
		"May-ya-moto"	"Congo, DRC"	"Africa-C"	-0.93	29.33	950	"Fumarole field"	"Fumarolic"	"Unknown"
	223020	"Nyamulagira"	"Congo, DRC"	"Africa-C"	-1.408	29.2	3058	"Shield volcano"	"Historical"	"D1"
	223030	"Nyiragongo"	"Congo, DRC"	"Africa-C"	-1.52	29.25	3470	"Stratovolcano"	"Historical"	"D1"
	223080	"Tshibinda"	"Congo, DRC"	"Africa-C"	-2.32	28.75	1460	"Cinder cone"	"Holocene"	"U"
	223050	"Visoke"	"Rwanda"	"Africa-C"	-1.458	29.485	3696	"Stratovolcano"	"Historical"	"D2"
	223070	"Bufumbira"	"Uganda"	"Africa-C"	-1.304	29.683	2100	"Cinder cone"	"Holocene"	"Unknown"
	223004	"Bunyaruguru"	"Uganda"	"Africa-C"	-0.2	30.08	1554	"Explosion crater"	"Holocene"	"U"
	223001	"Fort Portal"	"Uganda"	"Africa-C"	0.7	30.25	1615	"Tuff cone"	"Holocene"	"U"
	223005	"Katunga"	"Uganda"	"Africa-C"	-0.471	30.191	1707	"Tuff cone"	"Holocene"	"U"
	223003	"Katwe-Kikorongo"	"Uganda"	"Africa-C"	-0.08	29.92	1067	"Tuff cone"	"Holocene"	"U"
	223002	"Kyatwa"	"Uganda"	"Africa-C"	0.45	30.25	1430	"Tuff cone"	"Holocene"	"Unknown"
	223060	"Muhavura"	"Uganda"	"Africa-C"	-1.383	29.678	4103	"Stratovolcano"	"Holocene"	"U"
	222030	"Barrier, The"	"Kenya"	"Africa-E"	2.32	36.57	1032	"Shield volcano"	"Historical"	"D2"
	222130	"Chyulu Hills"	"Kenya"	"Africa-E"	-2.68	37.88	2188	"Volcanic field"	"Anthropology"	"D3"
	222080	"Eburru, Ol Doinyo"	"Kenya"	"Africa-E"	-0.65	36.22	2856	"Complex volcano"	"Holocene"	"U"
	222071	"Elmenteita Badlands"	"Kenya"	"Africa-E"	-0.546	36.249	2126	"Pyroclastic cone"	"Holocene"	"U"
	222051	"Emuruangogolak"	"Kenya"	"Africa-E"	1.5	36.33	1285	"Shield volcano"	"Radiocarbon"	"D2"
	222070	"Homa Mountain"	"Kenya"	"Africa-E"	-0.38	34.5	1751	"Complex volcano"	"Holocene"	"U"
	222054	"Korosi"	"Kenya"	"Africa-E"	0.77	36.12	1446	"Shield volcano"	"Holocene"	"U"
	222010	"Lake Turkana Central Island"	"Kenya"	"Africa-E"	3.496	36.04	518	"Stratovolcano"	"Holocene"	"U"
	222001	"Lake Turkana North Island"	"Kenya"	"Africa-E"	4.063	36.046	490	"Tuff cone"	"Holocene"	"U"
	222020	"Lake Turkana South Island"	"Kenya"	"Africa-E"	2.636	36.596	800	"Stratovolcano"	"Historical"	"D3"
	222100	"Longonot"	"Kenya"	"Africa-E"	-0.914	36.446	2776	"Stratovolcano"	"Anthropology"	"D3"
	222021	"Marsabit"	"Kenya"	"Africa-E"	2.32	37.97	1707	"Shield volcano"	"Holocene"	"Unknown"
	221330	"Mega Volcanic Field"	"Kenya"	"Africa-E"	3.971	38.213	1500	"Pyroclastic cone"	"Holocene"	"U"
	222060	"Menengai"	"Kenya"	"Africa-E"	-0.2	36.07	2278	"Shield volcano"	"Tephrochronology"	"D7"
	222040	"Namarunu"	"Kenya"	"Africa-E"	1.98	36.43	817	"Shield volcano"	"Tephrochronology"	"D7"
	222056	"Nyambeni Hills"	"Kenya"	"Africa-E"	0.23	37.87	750	"Shield volcano"	"Holocene"	"U"
	222055	"Ol Kokwe"	"Kenya"	"Africa-E"	0.62	36.075	1130	"Shield volcano"	"Holocene"	"U"
	222090	"Olkaria"	"Kenya"	"Africa-E"	-0.904	36.292	2434	"Pumice cone"	"Radiocarbon"	"D4"
	222053	"Paka"	"Kenya"	"Africa-E"	0.92	36.18	1697	"Shield volcano"	"Ar/Ar"	"D7"
	222050	"Segererua Plateau"	"Kenya"	"Africa-E"	1.57	37.9	699	"Pyroclastic cone"	"Holocene"	"U"
	222052	"Silali"	"Kenya"	"Africa-E"	1.15	36.23	1528	"Shield volcano"	"Ar/Ar"	"D7"
	222110	"Suswa"	"Kenya"	"Africa-E"	-1.151	36.357	2356	"Shield volcano"	"Holocene"	"U"
	222161	"Igwisi Hills"	"Tanzania"	"Africa-E"	-4.889	31.933	1146	"Tuff cone"	"Holocene"	"U"
		"Izumbwe-Mpoli"	"Tanzania"	"Africa-E"	-8.93	33.4	1568	"Pyroclastic cone"	"Holocene"	"U"
		"Kilimanjaro"	"Tanzania"	"Africa-E"	-3.07	37.35	5895	"Stratovolcano"	"Holocene"	"U"
	222170	"Kyejo"	"Tanzania"	"Africa-E"	-9.229	33.792	2176	"Stratovolcano"	"Historical"	"D3"
	222120	"Lengai, Ol Doinyo"	"Tanzania"	"Africa-E"	-2.764	35.914	2962	"Stratovolcano"	"Historical"	"D1"
	222160	"Meru"	"Tanzania"	"Africa-E"	-3.244	36.75	4550	"Stratovolcano"	"Historical"	"D2"
	222164	"Ngozi"	"Tanzania"	"Africa-E"	-9.004	33.552	2614	"Caldera"	"Holocene"	"U"
	222166	"Rungwe"	"Tanzania"	"Africa-E"	-9.135	33.668	2953	"Stratovolcano"	"Holocene"	"U"
		"SW Usangu Basin"	"Tanzania"	"Africa-E"	-8.75	33.8	2179	"Lava dome"	"Holocene"	"U"
		"Unnamed"	"Tanzania"	"Africa-E"	-8.63	33.57	0	"Pyroclastic cone"	"Holocene"	"U"
	225005	"Atakor Volcanic Field"	"Algeria"	"Africa-N"	23.33	5.83	2918	"Scoria cones"	"Holocene"	"U"
		"In Ezzane Volc Field"	"Algeria"	"Africa-N"	23	10.833		"Volcanic field"	"Holocene?"	"?"
	225006	"Manzaz Volcanic Field"	"Algeria"	"Africa-N"	23.92	5.83	1672	"Scoria cones"	"Holocene"	"U"
	225004	"Tahalra Volcanic Field"	"Algeria"	"Africa-N"	22.67	5	1467	"Pyroclastic cones"	"Holocene"	"U"
	225021	"Koussi, Emi"	"Chad"	"Africa-N"	19.8	18.53	3415	"Stratovolcano"	"Holocene"	"U"
	225001	"Todra Volcanic Field"	"Chad"	"Africa-N"	17.68	8.5	1780	"Volcanic field"	"Holocene"	"U"
